MCC,MWT Cat Mapping,sub_category,Master Category,Citi Bank Category
407,not provided,Others,Transfer out,Agricultural Services
408,not provided,Others,Transfer out,Agricultural Services
409,not provided,Others,Transfer out,Agricultural Services
410,not provided,Others,Transfer out,Agricultural Services
411,not provided,Others,Transfer out,Agricultural Services
412,not provided,Others,Transfer out,Agricultural Services
413,not provided,Others,Transfer out,Agricultural Services
414,not provided,Others,Transfer out,Agricultural Services
415,not provided,Others,Transfer out,Agricultural Services
416,not provided,Others,Transfer out,Agricultural Services
417,not provided,Others,Transfer out,Agricultural Services
418,not provided,Others,Transfer out,Agricultural Services
419,not provided,Others,Transfer out,Agricultural Services
420,not provided,Others,Transfer out,Agricultural Services
421,not provided,Others,Transfer out,Agricultural Services
422,not provided,Others,Transfer out,Agricultural Services
423,not provided,Others,Transfer out,Agricultural Services
424,not provided,Others,Transfer out,Agricultural Services
425,not provided,Others,Transfer out,Agricultural Services
426,not provided,Others,Transfer out,Agricultural Services
427,not provided,Others,Transfer out,Agricultural Services
428,not provided,Others,Transfer out,Agricultural Services
429,not provided,Others,Transfer out,Agricultural Services
430,not provided,Others,Transfer out,Agricultural Services
431,not provided,Others,Transfer out,Agricultural Services
432,not provided,Others,Transfer out,Agricultural Services
433,not provided,Others,Transfer out,Agricultural Services
434,not provided,Others,Transfer out,Agricultural Services
435,not provided,Others,Transfer out,Agricultural Services
436,not provided,Others,Transfer out,Agricultural Services
437,not provided,Others,Transfer out,Agricultural Services
438,not provided,Others,Transfer out,Agricultural Services
439,not provided,Others,Transfer out,Agricultural Services
440,not provided,Others,Transfer out,Agricultural Services
441,not provided,Others,Transfer out,Agricultural Services
442,not provided,Others,Transfer out,Agricultural Services
443,not provided,Others,Transfer out,Agricultural Services
444,not provided,Others,Transfer out,Agricultural Services
445,not provided,Others,Transfer out,Agricultural Services
446,not provided,Others,Transfer out,Agricultural Services
447,not provided,Others,Transfer out,Agricultural Services
448,not provided,Others,Transfer out,Agricultural Services
449,not provided,Others,Transfer out,Agricultural Services
450,not provided,Others,Transfer out,Agricultural Services
451,not provided,Others,Transfer out,Agricultural Services
452,not provided,Others,Transfer out,Agricultural Services
453,not provided,Others,Transfer out,Agricultural Services
454,not provided,Others,Transfer out,Agricultural Services
455,not provided,Others,Transfer out,Agricultural Services
456,not provided,Others,Transfer out,Agricultural Services
457,not provided,Others,Transfer out,Agricultural Services
458,not provided,Others,Transfer out,Agricultural Services
459,not provided,Others,Transfer out,Agricultural Services
460,not provided,Others,Transfer out,Agricultural Services
461,not provided,Others,Transfer out,Agricultural Services
462,not provided,Others,Transfer out,Agricultural Services
463,not provided,Others,Transfer out,Agricultural Services
464,not provided,Others,Transfer out,Agricultural Services
465,not provided,Others,Transfer out,Agricultural Services
466,not provided,Others,Transfer out,Agricultural Services
467,not provided,Others,Transfer out,Agricultural Services
468,not provided,Others,Transfer out,Agricultural Services
469,not provided,Others,Transfer out,Agricultural Services
470,not provided,Others,Transfer out,Agricultural Services
471,not provided,Others,Transfer out,Agricultural Services
472,not provided,Others,Transfer out,Agricultural Services
473,not provided,Others,Transfer out,Agricultural Services
474,not provided,Others,Transfer out,Agricultural Services
475,not provided,Others,Transfer out,Agricultural Services
476,not provided,Others,Transfer out,Agricultural Services
477,not provided,Others,Transfer out,Agricultural Services
478,not provided,Others,Transfer out,Agricultural Services
479,not provided,Others,Transfer out,Agricultural Services
480,not provided,Others,Transfer out,Agricultural Services
481,not provided,Others,Transfer out,Agricultural Services
482,not provided,Others,Transfer out,Agricultural Services
483,not provided,Others,Transfer out,Agricultural Services
484,not provided,Others,Transfer out,Agricultural Services
485,not provided,Others,Transfer out,Agricultural Services
486,not provided,Others,Transfer out,Agricultural Services
487,not provided,Others,Transfer out,Agricultural Services
488,not provided,Others,Transfer out,Agricultural Services
489,not provided,Others,Transfer out,Agricultural Services
490,not provided,Others,Transfer out,Agricultural Services
491,not provided,Others,Transfer out,Agricultural Services
492,not provided,Others,Transfer out,Agricultural Services
493,not provided,Others,Transfer out,Agricultural Services
494,not provided,Others,Transfer out,Agricultural Services
